Roll(deg),Pitch(deg),Yaw(deg),Alpha_P(deg),Alpha_Y(deg)
0.000000,0.891629,0.891629,105.480000,105.480000
0.000000,0.897321,0.897321,105.462000,105.462000
0.000000,0.903017,0.903017,105.444000,105.444000
0.000000,0.908716,0.908716,105.426000,105.426000
0.000000,0.914420,0.914420,105.408000,105.408000
0.000000,0.920127,0.920127,105.390000,105.390000
0.000000,0.925838,0.925838,105.372000,105.372000
0.000000,0.931553,0.931553,105.354000,105.354000
0.000000,0.937272,0.937272,105.336000,105.336000
0.000000,0.942994,0.942994,105.318000,105.318000
0.000000,0.948720,0.948720,105.300000,105.300000
0.000000,0.954451,0.954451,105.282000,105.282000
0.000000,0.960185,0.960185,105.264000,105.264000
0.000000,0.965922,0.965922,105.246000,105.246000
0.000000,0.971664,0.971664,105.228000,105.228000
0.000000,0.977409,0.977409,105.210000,105.210000
0.000000,0.983159,0.983159,105.192000,105.192000
0.000000,0.988912,0.988912,105.174000,105.174000
0.000000,0.994669,0.994669,105.156000,105.156000
0.000000,1.000430,1.000430,105.138000,105.138000
0.000000,1.006194,1.006194,105.120000,105.120000
0.000000,1.011963,1.011963,105.102000,105.102000
0.000000,1.017735,1.017735,105.084000,105.084000
0.000000,1.023511,1.023511,105.066000,105.066000
0.000000,1.029291,1.029291,105.048000,105.048000
0.000000,1.035074,1.035074,105.030000,105.030000
0.000000,1.040862,1.040862,105.012000,105.012000
0.000000,1.046653,1.046653,104.994000,104.994000
0.000000,1.052448,1.052448,104.976000,104.976000
0.000000,1.058247,1.058247,104.958000,104.958000
0.000000,1.064050,1.064050,104.940000,104.940000
0.000000,1.069857,1.069857,104.922000,104.922000
0.000000,1.075667,1.075667,104.904000,104.904000
0.000000,1.081481,1.081481,104.886000,104.886000
0.000000,1.087299,1.087299,104.868000,104.868000
0.000000,1.093121,1.093121,104.850000,104.850000
0.000000,1.098947,1.098947,104.832000,104.832000
0.000000,1.104776,1.104776,104.814000,104.814000
0.000000,1.110610,1.110610,104.796000,104.796000
0.000000,1.116447,1.116447,104.778000,104.778000
0.000000,1.122288,1.122288,104.760000,104.760000
0.000000,1.128132,1.128132,104.742000,104.742000
0.000000,1.133981,1.133981,104.724000,104.724000
0.000000,1.139833,1.139833,104.706000,104.706000
0.000000,1.145689,1.145689,104.688000,104.688000
0.000000,1.151549,1.151549,104.670000,104.670000
0.000000,1.157413,1.157413,104.652000,104.652000
0.000000,1.163281,1.163281,104.634000,104.634000
0.000000,1.169152,1.169152,104.616000,104.616000
0.000000,1.175027,1.175027,104.598000,104.598000
0.000000,1.180906,1.180906,104.580000,104.580000
0.000000,1.186789,1.186789,104.562000,104.562000
0.000000,1.192676,1.192676,104.544000,104.544000
0.000000,1.198566,1.198566,104.526000,104.526000
0.000000,1.204461,1.204461,104.508000,104.508000
0.000000,1.210359,1.210359,104.490000,104.490000
0.000000,1.216261,1.216261,104.472000,104.472000
0.000000,1.222166,1.222166,104.454000,104.454000
0.000000,1.228076,1.228076,104.436000,104.436000
0.000000,1.233989,1.233989,104.418000,104.418000
0.000000,1.239906,1.239906,104.400000,104.400000
0.000000,1.245827,1.245827,104.382000,104.382000
0.000000,1.251752,1.251752,104.364000,104.364000
0.000000,1.257680,1.257680,104.346000,104.346000
0.000000,1.263613,1.263613,104.328000,104.328000
0.000000,1.269549,1.269549,104.310000,104.310000
0.000000,1.275489,1.275489,104.292000,104.292000
0.000000,1.281433,1.281433,104.274000,104.274000
0.000000,1.287380,1.287380,104.256000,104.256000
0.000000,1.293331,1.293331,104.238000,104.238000
0.000000,1.299287,1.299287,104.220000,104.220000
0.000000,1.305246,1.305246,104.202000,104.202000
0.000000,1.311208,1.311208,104.184000,104.184000
0.000000,1.317175,1.317175,104.166000,104.166000
0.000000,1.323145,1.323145,104.148000,104.148000
0.000000,1.329119,1.329119,104.130000,104.130000
0.000000,1.335097,1.335097,104.112000,104.112000
0.000000,1.341079,1.341079,104.094000,104.094000
0.000000,1.347065,1.347065,104.076000,104.076000
0.000000,1.353054,1.353054,104.058000,104.058000
0.000000,1.359047,1.359047,104.040000,104.040000
0.000000,1.365044,1.365044,104.022000,104.022000
0.000000,1.371045,1.371045,104.004000,104.004000
0.000000,1.377049,1.377049,103.986000,103.986000
0.000000,1.383058,1.383058,103.968000,103.968000
0.000000,1.389070,1.389070,103.950000,103.950000
0.000000,1.395086,1.395086,103.932000,103.932000
0.000000,1.401105,1.401105,103.914000,103.914000
0.000000,1.407129,1.407129,103.896000,103.896000
0.000000,1.413156,1.413156,103.878000,103.878000
0.000000,1.419187,1.419187,103.860000,103.860000
0.000000,1.425222,1.425222,103.842000,103.842000
0.000000,1.431261,1.431261,103.824000,103.824000
0.000000,1.437303,1.437303,103.806000,103.806000
0.000000,1.443349,1.443349,103.788000,103.788000
0.000000,1.449399,1.449399,103.770000,103.770000
0.000000,1.455453,1.455453,103.752000,103.752000
0.000000,1.461511,1.461511,103.734000,103.734000
0.000000,1.467572,1.467572,103.716000,103.716000
0.000000,1.473637,1.473637,103.698000,103.698000
0.000000,1.479706,1.479706,103.680000,103.680000
0.000000,1.485779,1.485779,103.662000,103.662000
0.000000,1.491856,1.491856,103.644000,103.644000
0.000000,1.497936,1.497936,103.626000,103.626000
0.000000,1.504020,1.504020,103.608000,103.608000
0.000000,1.510108,1.510108,103.590000,103.590000
0.000000,1.516200,1.516200,103.572000,103.572000
0.000000,1.522295,1.522295,103.554000,103.554000
0.000000,1.528394,1.528394,103.536000,103.536000
0.000000,1.534497,1.534497,103.518000,103.518000
0.000000,1.540604,1.540604,103.500000,103.500000
0.000000,1.546715,1.546715,103.482000,103.482000
0.000000,1.552829,1.552829,103.464000,103.464000
0.000000,1.558947,1.558947,103.446000,103.446000
0.000000,1.565069,1.565069,103.428000,103.428000
0.000000,1.571195,1.571195,103.410000,103.410000
0.000000,1.577324,1.577324,103.392000,103.392000
0.000000,1.583458,1.583458,103.374000,103.374000
0.000000,1.589595,1.589595,103.356000,103.356000
0.000000,1.595736,1.595736,103.338000,103.338000
0.000000,1.601880,1.601880,103.320000,103.320000
0.000000,1.608029,1.608029,103.302000,103.302000
0.000000,1.614181,1.614181,103.284000,103.284000
0.000000,1.620337,1.620337,103.266000,103.266000
0.000000,1.626496,1.626496,103.248000,103.248000
0.000000,1.632660,1.632660,103.230000,103.230000
0.000000,1.638827,1.638827,103.212000,103.212000
0.000000,1.644998,1.644998,103.194000,103.194000
0.000000,1.651173,1.651173,103.176000,103.176000
0.000000,1.657351,1.657351,103.158000,103.158000
0.000000,1.663534,1.663534,103.140000,103.140000
0.000000,1.669720,1.669720,103.122000,103.122000
0.000000,1.675910,1.675910,103.104000,103.104000
0.000000,1.682103,1.682103,103.086000,103.086000
0.000000,1.688301,1.688301,103.068000,103.068000
0.000000,1.694502,1.694502,103.050000,103.050000
0.000000,1.700707,1.700707,103.032000,103.032000
0.000000,1.706916,1.706916,103.014000,103.014000
0.000000,1.713128,1.713128,102.996000,102.996000
0.000000,1.719344,1.719344,102.978000,102.978000
0.000000,1.725564,1.725564,102.960000,102.960000
0.000000,1.731788,1.731788,102.942000,102.942000
0.000000,1.738016,1.738016,102.924000,102.924000
0.000000,1.744247,1.744247,102.906000,102.906000
0.000000,1.750482,1.750482,102.888000,102.888000
0.000000,1.756721,1.756721,102.870000,102.870000
0.000000,1.762963,1.762963,102.852000,102.852000
0.000000,1.769210,1.769210,102.834000,102.834000
0.000000,1.775460,1.775460,102.816000,102.816000
0.000000,1.781714,1.781714,102.798000,102.798000
0.000000,1.787971,1.787971,102.780000,102.780000
0.000000,1.794233,1.794233,102.762000,102.762000
0.000000,1.800498,1.800498,102.744000,102.744000
0.000000,1.806767,1.806767,102.726000,102.726000
0.000000,1.813039,1.813039,102.708000,102.708000
0.000000,1.819316,1.819316,102.690000,102.690000
0.000000,1.825596,1.825596,102.672000,102.672000
0.000000,1.831880,1.831880,102.654000,102.654000
0.000000,1.838168,1.838168,102.636000,102.636000
0.000000,1.844459,1.844459,102.618000,102.618000
0.000000,1.850754,1.850754,102.600000,102.600000
0.000000,1.857053,1.857053,102.582000,102.582000
0.000000,1.863356,1.863356,102.564000,102.564000
0.000000,1.869662,1.869662,102.546000,102.546000
0.000000,1.875972,1.875972,102.528000,102.528000
0.000000,1.882286,1.882286,102.510000,102.510000
0.000000,1.888604,1.888604,102.492000,102.492000
0.000000,1.894925,1.894925,102.474000,102.474000
0.000000,1.901251,1.901251,102.456000,102.456000
0.000000,1.907579,1.907579,102.438000,102.438000
0.000000,1.913912,1.913912,102.420000,102.420000
0.000000,1.920249,1.920249,102.402000,102.402000
0.000000,1.926589,1.926589,102.384000,102.384000
0.000000,1.932933,1.932933,102.366000,102.366000
0.000000,1.939280,1.939280,102.348000,102.348000
0.000000,1.945632,1.945632,102.330000,102.330000
0.000000,1.951987,1.951987,102.312000,102.312000
0.000000,1.958346,1.958346,102.294000,102.294000
0.000000,1.964708,1.964708,102.276000,102.276000
0.000000,1.971075,1.971075,102.258000,102.258000
0.000000,1.977445,1.977445,102.240000,102.240000
0.000000,1.983819,1.983819,102.222000,102.222000
0.000000,1.990196,1.990196,102.204000,102.204000
0.000000,1.996577,1.996577,102.186000,102.186000
0.000000,2.002962,2.002962,102.168000,102.168000
0.000000,2.009351,2.009351,102.150000,102.150000
0.000000,2.015744,2.015744,102.132000,102.132000
0.000000,2.022140,2.022140,102.114000,102.114000
0.000000,2.028540,2.028540,102.096000,102.096000
0.000000,2.034944,2.034944,102.078000,102.078000
0.000000,2.041351,2.041351,102.060000,102.060000
0.000000,2.047762,2.047762,102.042000,102.042000
0.000000,2.054177,2.054177,102.024000,102.024000
0.000000,2.060596,2.060596,102.006000,102.006000
0.000000,2.067018,2.067018,101.988000,101.988000
0.000000,2.073444,2.073444,101.970000,101.970000
0.000000,2.079874,2.079874,101.952000,101.952000
0.000000,2.086308,2.086308,101.934000,101.934000
0.000000,2.092745,2.092745,101.916000,101.916000
0.000000,2.099186,2.099186,101.898000,101.898000
0.000000,2.105631,2.105631,101.880000,101.880000
0.000000,2.112079,2.112079,101.862000,101.862000
0.000000,2.118531,2.118531,101.844000,101.844000
0.000000,2.124987,2.124987,101.826000,101.826000
